title,price
SteelSeries Clavier HyperMagnetic gaming Apex Pro Mini - Actionnement ajustable - Facteur de forme compact de 60 % - RVB - Capuchons de touches PBT - USB-C - Français AZERTY,"139,99 €"
SteelSeries Clavier HyperMagnetic gaming Apex Pro TKL - Clavier le plus rapide - Actionnement ajustable - Format sans pavé numérique adapté à l’esport - RVB - USB-C - Édition 2023 - Français AZERTY,"149,99 €"
"Turtle Beach Vulcan II - Clavier Gaming PC, interrupteurs mécaniques Titan II, Touches rétro-éclairées RGB Personnalisables, Repose-Poignets Amovible, Noir","119,99 €"
SteelSeries Apex Pro clavier gaming HyperMagnetic - Actionnement ajustable - Écran OLED - RGB - Port USB - Français AZERTY,"178,59 €"
EMPIRE GAMING - Clavier Gamer Nouveau K300 (AZERTY) - 105 Touches Semi-Mécaniques - Rétroéclairage LED RGB - 19 Keys Anti-Ghosting - 12 Raccourcis Multimédia - USB Filaire,"22,99 €"
"CORSAIR K55 RGB PRO Clavier de Jeu Filaire à Membrane – IP42 Résistant à la Poussière et Aux éclaboussures – 6 Touches Macro Intégration Elgato – Compatible iCUE – AZERTY FR – PC, Mac, Xbox – Noir","47,49 €"
EMPIRE GAMING - Pack MK800 Filaire - Clavier Gaming AZERTY (Layout Français) RGB 105 Touches 19 Touches Anti-Ghosting - Souris Gamer 2400 DPI - Tapis de Souris - PC PS4 PS5 Xbox One/Series Mac,"28,89 €"
"TECURS Clavier Gamer Mécanique sans Fil RGB Rétroéclairé, 65% TKL Clavier Gaming Azerty avec Bluetooth/2.4G /Type-C, 68 Touches Anti-Ghosting Switchs Rouge pour PC/Windows/Mac/Xbox, Blanc","46,74 €"
"TECURS Clavier Gamer Mécanique sans Fil RGB Rétroéclairé, 65% TKL Clavier Gaming Azerty avec Bluetooth/2.4G /Type-C, 68 Touches Anti-Ghosting Switchs Rouge pour PC/Windows/Mac/Xbox, Blanc","46,74 €"
"CHERRY XTRFY K5V2 Compact, Clavier de gaming mécanique, format 65 %, Disposition française (AZERTY) Clavier Hot-Swap, MX2A RED Switches, Blanc transparent","129,99 €"
"Trust Gaming GXT 866 Torix Clavier Mécanique AZERTY Français, Commutateurs Huano Linéaires, Éclairage RGB, Anti-Ghosting N-Key Rollover USB Clavier Gamer Programmable PC Portable - Noir","47,49 €"
SteelSeries Apex Pro clavier gaming HyperMagnetic - Actionnement ajustable - Écran OLED - RGB - Port USB - Français AZERTY,"178,59 €"
SteelSeries Apex 3 - Clavier de Gaming - Illumination RVB sur 10 Zones - Repose-Mains Magnétique Premium - Agencement Français AZERTY,"52,24 €"
"Dierya Clavier Gamer Mécanique 60% Câblé avec Interrupteur Rouge,DK61se Clavier Gaming Rétroéclairage Bleu Glacier,Type-c Mechanical Keyboard Compact 61 Touches Anti-ghosting-US Layout,Blanc","29,74 €"
"Dierya Clavier Gamer Mécanique 60% Câblé avec Interrupteur Rouge,DK61se Clavier Gaming Rétroéclairage Bleu Glacier,Type-c Mechanical Keyboard Compact 61 Touches Anti-ghosting-US Layout,Blanc","29,74 €"
"The G-Lab Keyz Hydrogen, Clavier Gamer 60%, Clavier Semi-mécanique Filaire Azerty, Rétroéclairage Multicolore- Mini Clavier Gamer Silencieux, Format Compact TKL - PC/PS5 (Bleu/Blanc/Rouge)","22,99 €"
"RedThunder K84 Combo Clavier et Souris USB sans Fil Gamer, AZERTY Français, Batterie Rechargeable RVB Rétroéclairée, Clavier TKL à 75% et Souris Optique Légère en Nid d'abeille 3200 DPI (Noir)","45,59 €"
"CIY X77 Clavier Gamer Mécanique RGB Rétroéclairé, Clavier Gaming Filaire avec Switch Bleu, AZERTY Français, 88 Touches Anti-Ghosting, Programmable, Hot swappable, pour Windows PC (Blanc)","41,60 €"
"Dierya Clavier Gamer Mécanique 60% Câblé avec Interrupteur Rouge,T68SE Clavier Gaming LED Rétroéclairé Type-c Mechanical Keyboard Compact 68 Touches Anti-ghosting-US Layout,Blanc","28,04 €"
"Trust Gaming GXT 835 Azor Clavier Gamer Filaire AZERTY Français, Éclairage LED Arc-en-Ciel, Mode Jeu, 8 Touches Anti-ghosting, Clavier Gaming à Membrane USB, PC/Ordinateur Portable - Noir","16,99 €"
"The G-Lab Keyz Hydrogen, Clavier Gamer 60%, Clavier Semi-mécanique Filaire Azerty, Rétroéclairage Multicolore- Mini Clavier Gamer Silencieux, Format Compact TKL - PC/PS5 (Noir)","19,99 €"
"The G-Lab - Combo Hélium - Ensemble Gaming 3 en 1 - Clavier Gamer Azerty Rétroéclairé, Souris Gamer 6400 Dpi, Tapis De Souris Antidérapant - 6 Touches Anti-ghosting - Pack PC/PS4/PS5/Xbox","19,92 €"
"The G-Lab - Keyz Rubidium - Clavier Mécanique Gaming USB, AZERTY, Haute Performance, RGB 100% Personnalisable, Anti-Ghosting, Repose-Poignet - Compatible avec PC, PS4, PS5, Xbox - New","45,57 €"
"TECURS Clavier Gaming Mécanique - Clavier Gamer Programmable avec Repose-Poignet Magnétique, Switchs Rouges, 19 Modes LED, Touches Multimédia, Clavier AZERTY PC/Wins/PS4","45,59 €"
"RedThunder K10 Ensemble Gaming Clavier et Souris Gamer Usb, AZERTY FRANÇAIS + Repose-Poignets, Clavier Anti-Ghosting Rétroéclairé RVB et 7200 DPI avec Souris Ergonomique pour Les Joueurs (Noir)","46,29 €"
SteelSeries Apex 3 - Clavier de Gaming - Illumination RVB sur 10 Zones - Repose-Mains Magnétique Premium - Agencement Français AZERTY,"52,24 €"
"The G-Lab - Combo Hydrogen - Pack Clavier Souris Gamer, Clavier Gamer 60% Filaire, Rétroéclairage RGB, azerty, Format Compact + Souris Gaming RGB, 6 Boutons, 6200 DPI - PC/PS4/PS5 – Blanc","29,95 €"
"RK ROYAL KLUDGE RK61 Clavier Gaming sans Fil, AZERTY Mecanique 60% Bluetooth/2.4Ghz/USB-C Interrupteur Rouge Remplaçable à Chaud Compatible avec MacBook/iPad/Mac OS/Windows PC Tablette, Noir","67,99 €"
Corsair K65 Plus Wireless 75% RGB Clavier Mécanique de Jeu Remplaçable à Chaud - Commutateurs Linéaires MLX Red Pré-Lubrifiés - Capuchons de Touches PBT - AZERTY FR - Noir,"119,99 €"
"Mountain Clavier de Gaming Everest 60 Compact RGB - avec Contacts mécaniques Hot-swappables lubrifiés et Plus Encore – US ANSI (Everest 60 | Tactile 55, Dolomite B)","49,99 €"
"TECURS Clavier Gamer Mécanique sans Fil RGB Rétroéclairé, 65% TKL Clavier Gaming Azerty avec Bluetooth/2.4G /Type-C, 68 Touches Anti-Ghosting Switchs Rouge pour PC/Windows/Mac/Xbox, Blanc","46,74 €"
"RedThunder K10 Ensemble Gaming Clavier et Souris Gamer Usb, AZERTY FRANÇAIS + Repose-Poignets, Clavier Anti-Ghosting Rétroéclairé RVB et 7200 DPI avec Souris Ergonomique pour Les Joueurs (Noir)","46,29 €"
"TECURS Clavier Mecanique - Clavier Gamer de Jeu Filaire Switchs Bleu, AZERTY Français, LED Rétroéclairé, Clavier Gaming Mini 60% pour PC/Windows/PS5/PS4, Blanc et Gris","31,99 €"
"Logitech G213 Prodigy, Clavier Gamer, Eclairage RGB LIGHTSYNC, Résistant aux Éclaboussures, Personnalisable, Commandes Multimédia Dédiées, Français AZERTY - Noir","32,99 €"
SteelSeries Apex 3 - Clavier de Gaming - Illumination RVB sur 10 Zones - Repose-Mains Magnétique Premium - Agencement Français AZERTY,"52,24 €"
"Logitech G413 TKL SE Clavier Gamer Mécanique - Rétroéclairé avec Switches Mécaniques Tactiles, Anti-Ghosting, Compatible avec Windows, macOS, Français AZERTY - Noir","44,99 €"
"Dierya Clavier Gamer Mécanique 60% Câblé avec Interrupteur Rouge,DK61se Clavier Gaming Rétroéclairage Bleu Glacier,Type-c Mechanical Keyboard Compact 61 Touches Anti-ghosting-US Layout,Blanc","29,74 €"
KLIM Chroma Clavier Gamer AZERTY FR - Nouveauté - Silencieux USB - Clavier Filaire Rétroéclairé LED - PC Gaming PS4 PS5 Mac - Noir,"28,47 €"
